duration,credit_amount,employment,installment_commitment,residence_since,age,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,checking_status_'<0',checking_status_'>=200',checking_status_'no checking',credit_history_'critical/other existing credit',credit_history_'delayed previously',credit_history_'existing paid',credit_history_'no credits/all paid',purpose_'new car',purpose_'used car',purpose_business,purpose_education,purpose_furniture/equipment,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,savings_status_'500<=X<1000',savings_status_'<100',savings_status_'>=1000',savings_status_'no known savings',personal_status_'male div/sep',personal_status_'male mar/wid',personal_status_'male single',other_parties_guarantor,other_parties_none,property_magnitude_'no known property',property_magnitude_'real estate',property_magnitude_car,other_payment_plans_none,other_payment_plans_stores,housing_own,housing_rent
2.0,2.0081330200614493,0.0,-0.5,0.5,0.8571428571428571,0.0,0.0,1.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0.0,-0.1386228086029279,0.0,0.5,0.5,-0.7142857142857143,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0.75,2.272365805168986,0.0,-0.5,-0.5,-0.42857142857142855,1.0,0.0,0.0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
3.5,1.4319537321525393,0.0,0.5,0.5,0.6428571428571429,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
1.5,3.090005422013374,0.0,-0.5,-0.5,0.8571428571428571,1.0,0.0,1.0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
0.5,0.8185432857401048,0.0,-0.5,0.0,1.5,2.0,-1.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
-0.5,-0.1172962226640159,0.0,0.0,0.5,-0.21428571428571427,0.0,0.0,1.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-0.75,0.02873667088378818,1.0,-0.5,0.0,-0.14285714285714285,0.0,-1.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
-0.5,-0.20187963130309056,0.0,0.0,-0.5,-0.6428571428571429,0.0,-1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1
1.5,0.15163564070124708,0.0,0.5,0.5,-0.14285714285714285,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1.0,0.6949213808060727,1.0,0.5,-0.5,-0.35714285714285715,1.0,-1.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
-0.3333333333333333,-0.33128501716970904,0.0,-1.0,-0.5,0.14285714285714285,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
-0.5,-0.5781673594794867,0.0,0.5,0.0,0.0,0.0,-1.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
-0.6666666666666666,-0.3283932767034159,0.0,0.0,-0.5,0.14285714285714285,0.0,-1.0,0.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
-0.5,0.15741912163383337,0.0,-1.0,-0.5,-0.5714285714285714,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1.75,4.284294234592445,0.0,0.5,0.5,-0.21428571428571427,1.0,-1.0,0.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
0.5,-0.1404301463943611,0.0,0.5,0.0,-0.07142857142857142,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
-0.5,-0.5503343574914151,0.0,0.5,0.5,0.35714285714285715,0.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
-0.5,0.909633110428339,0.0,0.0,0.5,0.7142857142857143,1.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.5,1.151093439363817,0.0,0.5,-1.0,-0.5714285714285714,0.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
0.25,0.47912524850894633,0.0,-0.5,0.0,-0.42857142857142855,1.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
-1.0,-0.3996023856858847,0.0,-1.0,-0.5,-0.42857142857142855,1.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
1.0,0.5441894090005422,0.0,-0.5,-1.0,-0.7857142857142857,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
-0.75,-0.30670522320621724,0.0,0.5,-0.5,-0.7857142857142857,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
2.5,2.853967106452196,0.0,0.5,0.0,0.2857142857142857,0.0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
1.5,-0.0012651364540032532,0.0,0.5,0.5,-0.6428571428571429,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
0.0,0.16211819989155973,0.0,-0.5,-0.5,-0.14285714285714285,1.0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0.5,0.011747695644315923,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0.5,0.5947948671606723,0.0,-0.5,0.5,-0.5714285714285714,0.0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0.5,0.242002530272908,0.0,-0.5,0.5,-0.9285714285714286,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
-1.1666666666666667,0.38080607265497923,0.0,-1.0,-1.0,0.2857142857142857,0.0,0.0,1.0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0.5,-0.3197180553045364,0.0,0.5,0.5,-0.7142857142857143,1.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
-0.5,-0.32622447135369603,0.0,0.5,0.0,-0.5,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
3.0,2.569853605638894,0.0,-0.5,-0.5,0.42857142857142855,0.0,-1.0,1.0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
0.5,0.0023495391288631843,0.0,0.5,-0.5,-0.2857142857142857,0.0,-1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0.75,0.06994397252846557,0.0,0.5,-0.5,-0.7142857142857143,1.0,-1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0.0,-0.45960600036146754,0.0,0.5,-1.0,-0.21428571428571427,1.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1.5,0.13934574371950117,0.0,-0.5,-0.5,0.5714285714285714,0.0,0.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
-1.0,-0.09524670160853063,0.0,0.5,0.0,-0.21428571428571427,0.0,-1.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
0.5,1.122898969817459,1.0,-0.5,0.5,-0.5,0.0,-1.0,0.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
-0.5,0.40502439906018434,0.0,0.5,0.0,0.14285714285714285,0.0,-1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
-1.0,-0.5040665100307248,0.0,0.0,-0.5,-0.6428571428571429,0.0,0.0,0.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1.5,0.12452557382974878,0.0,0.5,0.5,1.2142857142857142,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.0,1.8245075004518345,1.0,0.5,0.5,0.5,1.0,-1.0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
0.0,-0.46936562443520696,0.0,0.5,0.0,0.21428571428571427,1.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1.5,0.007771552503162841,0.0,0.0,-0.5,0.9285714285714286,1.0,0.0,0.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0.25,-0.2727272727272727,0.0,0.5,0.5,0.21428571428571427,0.0,-1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0.5,-0.4046629315018977,0.0,0.5,0.5,-0.6428571428571429,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2.0,0.38586661847099224,1.0,0.5,0.5,2.2857142857142856,1.0,-1.0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
-0.3333333333333333,0.595156334718959,1.0,-1.0,0.5,-0.7857142857142857,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
-0.25,0.590095788902946,0.0,0.0,-0.5,-0.2857142857142857,0.0,0.0,0.0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1.75,0.08765588288451112,0.0,0.5,0.5,-0.6428571428571429,0.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
-0.25,-0.2871859750587385,0.0,0.5,0.0,-0.14285714285714285,0.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
-0.5,-0.10789806614856316,0.0,0.5,-0.5,-0.21428571428571427,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
0.5,-0.02584493041749503,0.0,0.5,-1.0,1.5,0.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
-0.5,-0.28357129947587206,0.0,-0.5,0.5,0.21428571428571427,0.0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
0.5,-0.008494487619736129,0.0,0.5,-1.0,0.8571428571428571,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
0.5,-0.09488523405024399,1.0,0.0,-0.5,0.07142857142857142,0.0,-1.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
-1.0,-0.4624977408277607,0.0,-0.5,0.5,1.2142857142857142,0.0,-1.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.5,-0.3894812940538587,0.0,0.5,-0.5,-0.35714285714285715,0.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0
-1.0,-0.0891017531176577,0.0,-1.0,-0.5,-0.6428571428571429,0.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
-0.9166666666666666,-0.5770829568046267,0.0,0.5,-0.5,0.9285714285714286,1.0,-1.0,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
2.5,1.5740104825591903,0.0,0.5,0.5,0.35714285714285715,0.0,0.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
-0.5,-0.18886679920477137,0.0,0.0,0.5,0.7857142857142857,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1.5,1.7352250135550333,0.0,-0.5,0.5,-0.7142857142857143,1.0,0.0,0.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-1.0,-0.13356226278691488,0.0,-1.0,0.5,-0.14285714285714285,0.0,0.0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
1.5,2.074281583227905,0.0,0.0,-0.5,-0.5714285714285714,1.0,-1.0,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
0.5,0.05656967287185975,0.0,0.5,0.5,-0.7857142857142857,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0
0.5,0.3283932767034159,0.0,0.0,-0.5,-0.5,0.0,-1.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
1.0,1.5960600036146755,0.0,-0.5,0.0,0.21428571428571427,1.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
-0.75,-0.49430688595698535,0.0,-1.0,-0.5,-0.2857142857142857,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
-0.25,0.8424001445870233,0.0,0.0,-0.5,-0.21428571428571427,0.0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
1.0,0.7061268751129586,0.0,0.5,0.5,-0.5,1.0,-1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
-1.0,-0.07898066148563167,0.0,-0.5,-0.5,-0.2857142857142857,0.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1
0.5,-0.27995662389300563,0.0,0.0,-1.0,-0.07142857142857142,0.0,0.0,1.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
-0.8333333333333334,-0.5662389300560274,0.0,0.5,-0.5,0.7857142857142857,0.0,-1.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
-0.5,-0.21344659316826314,0.0,0.0,0.5,-0.14285714285714285,0.0,-1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1.5,0.5004518344478583,0.0,-0.5,-0.5,-0.42857142857142855,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
-0.25,0.5369600578348094,0.0,-1.0,0.5,-0.7142857142857143,0.0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
-1.0,-0.5879269835532261,0.0,0.5,0.5,0.21428571428571427,1.0,0.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
0.5,-0.18199891559732514,1.0,0.5,-0.5,-0.21428571428571427,0.0,-1.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0
-0.3333333333333333,-0.5510572926079884,0.0,0.5,-0.5,-0.42857142857142855,1.0,-1.0,0.0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
0.5,0.18019157780589193,0.0,0.5,0.0,0.07142857142857142,1.0,0.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0
1.0,1.4543647207663113,0.0,0.5,0.5,-0.14285714285714285,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
3.5,1.63003795409362,0.0,0.0,0.5,2.142857142857143,1.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0
2.0,1.7522139887945056,0.0,0.5,0.0,-0.21428571428571427,0.0,-1.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
0.5,0.36815470811494666,0.0,0.5,-0.5,0.42857142857142855,0.0,-1.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-0.5,-0.5911801915778059,0.0,0.5,0.0,0.14285714285714285,1.0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0.75,0.07283571299475872,0.0,0.5,-1.0,-0.07142857142857142,0.0,0.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.5,3.2537502259172237,0.0,-0.5,0.0,-0.2857142857142857,1.0,-1.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.5,-0.015362371227182361,0.0,0.5,-0.5,-0.35714285714285715,0.0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
1.5,1.8371588649918669,0.0,0.0,-0.5,0.2857142857142857,1.0,0.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
1.5,3.1547081149466836,0.0,0.5,-0.5,-0.21428571428571427,0.0,-1.0,0.0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
0.5,0.268389662027833,0.0,0.5,0.5,-0.21428571428571427,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
-0.8333333333333334,-0.5767214892463401,0.0,0.5,0.5,1.0,1.0,-1.0,0.0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0
1.5,3.637267305259353,0.0,-1.0,0.5,0.2857142857142857,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
-0.5,1.8599313211639255,1.0,-1.0,-0.5,-0.6428571428571429,0.0,-1.0,0.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
0.25,0.37249231881438644,0.0,0.5,-0.5,-0.2857142857142857,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
